site_id,x_km,y_km,landclass,tower_height_m,sectors_default
0,2.5014274422610425,2.98225191493776,rural,20,3
1,2.4145825716466724,1.6307232331211379,rural,30,3
2,4.955831415062363,3.431442448355879,forest,20,3
3,4.488604904579325,3.261806472531767,forest,40,3
4,12.607702399964518,7.330318945112027,hilly,20,3
5,13.017198505525378,3.9071336611562155,forest,40,3
6,11.430667770972828,7.296691984811986,rural,20,3
7,12.779456086519964,6.608570114067388,rural,30,3
8,18.30021831326744,2.0235662341002203,rural,40,3
9,17.32532372417581,3.480586303859269,forest,30,3
10,16.90185227575128,1.250190847754304,rural,20,3
11,17.419399289293786,2.0771274222716927,rural,40,3
12,15.135276610762112,1.3292670667779816,rural,20,3
13,6.329781135793333,7.479371538939262,hilly,40,3
14,2.47964103318729,7.243629949648521,forest,20,3
15,17.482814762215142,3.438080613199851,forest,30,3
16,4.8509014489433255,4.37086047031611,forest,30,3
17,4.908859952580215,9.968043603919712,hilly,20,3
18,18.64484404937302,6.729000061187148,forest,30,3
19,12.564256098606744,1.9686366121476595,hilly,30,3
20,8.75316239472151,9.755057320879436,open,20,3
21,7.41853242104169,8.562148816272357,hilly,30,3
22,17.307299924473455,8.83391789008484,rural,20,3
23,0.3932772255745842,5.93022841656457,hilly,40,3
24,7.245505668452208,7.248171510160138,rural,40,3
25,0.5094912713590793,9.388987763845334,open,40,3
26,16.769933591266582,9.147709501720998,hilly,40,3
27,7.528337207461058,8.323781673620633,open,20,3
28,1.5507516668519838,5.5394506993350365,rural,40,3
29,12.899203191024675,0.25228315569227555,open,20,3
30,2.480683682591822,4.27861925474515,open,40,3
31,2.33459670974262,1.0109959363912535,rural,40,3
32,4.363413085654122,6.145647565801347,rural,30,3
33,4.9050198131741185,0.09544646301899329,open,30,3
34,14.265906333794767,4.514107552001088,hilly,30,3
35,2.8943630747994376,8.132628458984183,rural,20,3
