dp_id,x_km,y_km,settlement_type,landclass,households,subscribers_initial
0,3.087773487497441,3.081281159072594,village,forest,14,4
1,4.950801871282277,3.1645560850732255,village,forest,17,5
2,2.948099815574489,5.386984580753148,village,forest,15,4
3,4.610908452652899,2.7722410009011544,village,rural,16,5
4,4.898506962016628,3.167569776245358,village,forest,12,4
5,3.4020379774618754,2.7897656345612676,village,forest,10,3
6,4.400367967219737,2.5094763518161605,village,forest,12,4
7,3.7666447591676775,2.0255998077115933,village,open,9,3
8,3.976851848772712,4.011048985035174,village,open,14,4
9,3.7933287748282387,2.615775934967151,village,rural,18,5
10,4.207631375677648,3.624612678289192,village,open,16,5
11,3.9338891295376497,3.820329023189025,village,forest,15,4
12,2.688411784026178,3.2233710784459557,village,rural,18,5
13,3.9849771814983264,3.066857830327275,village,hilly,17,5
14,4.345265556117236,2.751862048259491,village,forest,13,4
15,3.9412722486157254,2.6622238340796276,village,rural,17,5
16,3.465527776872905,2.7975794167108217,village,forest,13,4
17,3.344649806606418,3.0078309112019617,village,forest,6,2
18,3.6261381563609647,3.207137129949043,village,hilly,11,3
19,3.933622032183813,3.74026968045541,village,forest,23,7
20,4.546453780756115,4.005421950700445,village,forest,15,4
21,3.6562857165353218,2.4376553978025877,village,open,15,4
22,3.525873320423587,3.6091227813534323,village,forest,10,3
23,3.8809284684247727,1.9273906362332558,village,rural,10,3
24,3.87807134571623,2.885740665297046,village,rural,12,4
25,4.962661172453767,3.1569376299344074,village,forest,12,4
26,4.61098493328671,2.6304684832283476,village,rural,8,2
27,3.6875919931315044,2.8578789367587034,village,rural,14,4
28,4.597028350602912,2.9927288672670174,village,rural,12,4
29,5.36463099529107,2.2767723835668816,village,open,13,4
30,3.5711959203991075,3.267854585744348,village,hilly,13,4
31,3.804233701702999,2.2863685069038597,village,open,17,5
32,5.081227414975212,3.080173747449549,village,hilly,15,4
33,5.4221987038508805,3.2983198209377473,village,hilly,4,1
34,5.878732221156298,2.6041915589457267,village,hilly,9,3
35,4.306312550416578,3.3066146463807833,village,forest,5,2
36,3.429359133343893,3.168422343596405,village,forest,14,4
37,5.660358269349182,3.2223683311901787,village,hilly,7,2
38,4.104202331981246,3.360327524791541,village,forest,4,1
39,5.244367686116444,3.249787759516438,village,hilly,7,2
40,4.068689232815266,3.9342188706492704,village,open,12,4
41,4.12679347844213,3.3877027858347217,village,forest,9,3
42,4.805425413913111,2.9645685452557697,village,rural,10,3
43,4.04225493246733,2.4460461707981795,village,rural,10,3
44,4.874068722406776,2.6096795062276397,village,rural,15,4
45,3.314369252274566,3.408724985450242,village,forest,22,7
46,4.195748525864365,2.982200714334607,village,forest,7,2
47,4.411315140853849,4.657858168147709,village,forest,12,4
48,4.919972952725068,3.3585470000316073,village,forest,8,2
49,4.865565365984799,4.134013646812482,village,forest,10,3
50,3.8206309003248786,2.9367907299774614,village,rural,21,6
51,3.815707775076725,3.1726368826346523,village,hilly,8,2
52,3.2446460012537166,3.6889439341992403,village,forest,12,4
53,3.645542230844359,3.323409852715404,village,hilly,13,4
54,4.862050606869622,2.935097636745427,village,rural,15,4
55,3.4384099313787253,2.7005457464012728,village,forest,7,2
56,4.022356701785166,3.476711676445728,village,forest,15,4
57,3.205963954929369,1.5033279201686176,village,open,16,5
58,3.2419462436583935,3.867856493164707,village,forest,18,5
59,3.7692965907157547,2.126680258351532,village,open,16,5
60,4.404602000654755,2.7373891929116247,village,forest,15,4
61,3.582044823249792,3.299701961628771,village,hilly,13,4
62,2.8012079172246795,2.963279156628062,village,rural,13,4
63,3.6368486166507745,2.5976327148632388,village,rural,12,4
64,3.9616244934757217,3.0220893965372233,village,hilly,19,6
65,3.1918689131960196,2.611919934870729,village,forest,15,4
66,3.8430593664114325,2.683516038139258,village,rural,13,4
67,4.307128471791545,2.762754209409822,village,forest,10,3
68,4.176427436355253,3.187703413134242,village,forest,22,7
69,3.8139416289552424,3.1237867617213895,village,hilly,10,3
70,12.499208756823299,7.641654264974778,village,rural,17,5
71,12.572686178173505,7.192555855511575,village,hilly,13,4
72,13.14115929511457,5.755977510798786,village,hilly,8,2
73,12.754400158328906,7.296646438147651,village,hilly,11,3
74,11.741680451465005,6.966476886860013,village,forest,15,4
75,10.577232430718372,6.524257424794115,village,rural,21,6
76,11.737859975520955,5.79484753220975,village,rural,16,5
77,11.91210982386194,7.120274836209472,village,rural,18,5
78,11.851338532938483,5.898092202517379,village,rural,12,4
79,11.486649070528937,7.848418759648909,village,open,10,3
80,11.676371354007513,5.350567368883601,village,hilly,14,4
81,12.147021529192143,7.4051175418293695,village,rural,17,5
82,11.83737406572458,5.374882036080201,village,hilly,9,3
83,13.166660124605404,7.075022998596608,village,open,13,4
84,12.715808320200827,5.593863784741172,village,rural,17,5
85,10.72764874333053,7.371136915764932,village,forest,12,4
86,13.15989368490204,6.654138558038008,village,hilly,9,3
87,13.335014460316593,7.4232724175720035,village,open,11,3
88,12.43639665375831,6.409051964285923,village,forest,16,5
89,13.310299190809005,7.426876267708561,village,open,10,3
90,12.101906555655987,6.286808033315217,village,forest,8,2
91,13.674246239952637,7.182290362126318,village,rural,12,4
92,12.175795263080541,5.966190433299227,village,forest,10,3
93,12.589784489163536,7.924934367598024,village,forest,12,4
94,12.397138173573229,6.023736198959201,village,forest,12,4
95,11.980013232537079,6.655181865752065,village,forest,16,5
96,13.452527300563691,6.705966569719779,village,hilly,20,6
97,13.002637291131633,4.918515982686973,village,hilly,9,3
98,10.812491259277397,5.987022623496572,village,hilly,11,3
99,11.978484922208803,6.373275720045164,village,forest,19,6
100,11.593992610336516,5.940636888067976,village,rural,11,3
101,12.955639227382324,5.968221782817308,village,rural,13,4
102,12.639467039535898,7.033247183254173,village,hilly,14,4
103,12.809407420742925,6.279244195917718,village,rural,12,4
104,12.571825295678144,6.825999140272934,village,rural,15,4
